;== NAME      RA           Dec        Lon         Lat     DESIGN NVISITS       TYPE SURV PRI  MJD   HA   COMMENTS ==
 116+00      357.9301     62.0653    116.0000      0.0000    420 3          disk2  N    9  Y2    0.0    ;
 124+00       15.2008     62.8522    124.0000      0.0000    100 3          disk2  N    9  Y2    0.0    ;
 124+00       15.2008     62.8522    124.0000      0.0000    200 3          disk2  N    9  Y2    0.0    ;
 146+08       65.9356     60.9641    146.0000      8.0000    100 3          disk2  N    7  Y2    0.0    ;
 146-08       48.5932     48.3652    146.0000     -8.0000    100 3          disk2  N    7  Y2    0.0    ;
 146+12       72.4084     63.6030    146.0000     12.0000    200 3          disk2  N    8  Y2    0.0    ;
 146-12       45.6293     44.9206    146.0000    -12.0000    200 3          disk2  N    8  Y2    0.0    ;
 154+00       65.7393     49.6694    154.0000      0.0000    100 3          disk2  N    9  Y2    0.0    ;
 154+00       65.7393     49.6694    154.0000      0.0000    200 3          disk2  N    9  Y2    0.0    ;
 169-08       71.3521     33.2303    169.0000     -8.0000    100 3          disk2  N    7  Y2    1.0    ;
 169+12       92.8435     44.3298    169.0000     12.0000    100 3          disk2  N    8  Y2    2.0    ;
 169+12       92.8435     44.3298    169.0000     12.0000    200 3          disk2  N    8  Y2    2.0    ;
 169-12       67.7916     30.6091    169.0000    -12.0000    100 3          disk2  N    8  Y2    1.0    ;
 169-12       67.7916     30.6091    169.0000    -12.0000    200 3          disk2  N    8  Y2    2.0    ;
 191+08      100.0678     23.1189    191.0000      8.0000    100 3          disk2  N    7  Y2    0.0    ;
 191-08       85.1960     15.4097    191.0000     -8.0000    100 3          disk2  N    7  Y2    0.0    ;
 191+12      104.0242     24.8318    191.0000     12.0000    100 3          disk2  N    8  Y2    0.0    ;
 191+12      104.0242     24.8318    191.0000     12.0000    200 3          disk2  N    8  Y2    2.0    ;
  020+06      271.5123     -8.6512     20.0000      6.0000 110     3          disk2  N    7  Y2    0.0 ;inner_disk
  020+06      271.5123     -8.6512     20.0000      6.0000 210     3          disk2  N    7  Y2    0.0 ;inner_disk
  020+12      266.2236     -5.7401     20.0000     12.0000 210     3          disk2  N    8  Y2   -1.0 ;inner_disk
  025+12      268.5792     -1.4513     25.0000     12.0000 210     3          disk2  N    8  Y2   -1.0 ;inner_disk
  025-12      290.1238    -12.4117     25.0000    -12.0000 210     3          disk2  N    8  Y2    0.0 ;inner_disk
  120+06        4.8137     68.6883    120.0000      6.0000 110     3           disk  N    7  Y2    0.0 ;MRing
  120+06        4.8137     68.6883    120.0000      6.0000 210     3           disk  N    7  Y2    0.0 ;MRing
  120-06        7.5360     56.7504    120.0000     -6.0000 110     3           disk  N    7  Y2    0.0 ;MRing
  120-06        7.5360     56.7504    120.0000     -6.0000 210     3           disk  N    7  Y2    0.0 ;MRing
  140+06       53.4661     63.3537    140.0000      6.0000 100     3           disk  N    7  Y2    0.0 ;MRing
  140-06       41.8621     52.9838    140.0000     -6.0000 100     3           disk  N    7  Y2    0.0 ;MRing
  140+12       62.8083     67.9722    140.0000     12.0000 200     3           disk  N    8  Y2    0.0 ;MRing
  140-12       38.0122     47.5098    140.0000    -12.0000 200     3           disk  N    8  Y2    0.0 ;MRing
  160+06       78.7065     48.9304    160.0000      6.0000 100     3           disk  N    7  Y2    0.0 ;MRing
  160-06       65.6680     41.1921    160.0000     -6.0000 100     3           disk  N    7  Y2    1.0 ;MRing
  160+12       86.6991     52.1318    160.0000     12.0000 200     3           disk  N    8  Y2    1.0 ;MRing
  160-12       60.3243     36.8567    160.0000    -12.0000 100     3           disk  N    8  Y2    0.0 ;MRing
  K04-083+13  295.6957     49.9017     82.8417     12.7941 200     1    kep_apokasc  N    7  Y2    1.0 ;K4_APOKASC
  K08-073+19  281.9166     43.4529     72.8203     18.9195 200     1    kep_apokasc  N    7  Y2   -1.0 ;K8_APOKASC
  K10-079+12  294.1249     46.0047     78.7979     11.9624 200     1    kep_apokasc  N    7  Y2    2.0 ;K10_APOKASC
  K12-074+15  287.3999     42.8840     73.8041     14.9919 200     1    kep_apokasc  N    7  Y2    2.0 ;K12_APOKASC
  K14-080+08  299.6499     44.8714     79.6822      8.0193 200     1    kep_apokasc  N    7  Y2    0.0 ;K14_APOKASC
  K16-075+11  292.7707     42.0902     74.7840     11.0677 200     1    kep_apokasc  N    7  Y2    3.0 ;K16_APOKASC
  K18-070+14  286.4874     38.9081     69.7538     14.0383 200     1    kep_apokasc  N    7  Y2    3.0 ;K18_APOKASC
  K20-073+09  294.6833     39.6141     73.2317      8.6420 200     1    kep_apokasc  N    7  Y2    3.0 ;K20_APOKASC_Com
  K04-083+13  295.6957     49.9017     82.8417     12.7941 500     1        kep_koi  N    6  Y2   -1.0 ;K4_KOI
  K06-078+16  288.4125     46.8752     77.9046     15.8987 300     1        kep_koi  N    6  Y2   -2.0 ;K6_KOI
  K07-075+17  285.0706     45.2130     75.3874     17.4238 300     1        kep_koi  N    6  Y2   -3.0 ;K7_KOI
  K10-079+12  294.1249     46.0047     78.7979     11.9624 500     1        kep_koi  N    6  Y2   -3.0 ;K10_KOI
  K21-071+10  291.5541     38.1605     70.7870     10.1342 600     1        kep_koi  N    6  Y2   -3.0 ;K21_KOI
  000+12      255.3518    -22.2382      0.0000     12.0000 210     9          bulge  N    9  Y2    0.0 ;
  PAL5M5      229.2235      1.0630      2.3300     46.4700 321     3     cluster_gc  N    8  Y2   -1.0 ;Pal5_and_M5
  PAL5M5      229.2235      1.0630      2.3300     46.4700 421     3     cluster_gc  N    8  Y2   -1.0 ;Pal5_and_M5
  M15         322.4930     12.1671     65.0126    -27.3125 111     3     cluster_gc  N    8  Y2   -1.0 ;NGC7078_M15
  M15         322.4930     12.1671     65.0126    -27.3125 211     3     cluster_gc  N    8  Y2    2.0 ;NGC7078_M15
  N188        11.86667     85.3050    122.8440     22.4341 200     2     cluster_oc  N    9  Y2    1.0 ;NGC188_circumpolar
  N2243-N      97.3917    -31.3333    239.5270    -18.0324 100     3     cluster_oc  N    9  Y2    0.0    ;NGC2243_north 
